Tipo de Identificación,Fecha de Nacimiento,Tipo de sexo,Estrato Social,Cabeza de Familia,Posee alguna discapacidad,Población a la que pertenece,Grado de Escolaridad,Tipo de Formación artística,Sub area,Es su principal actividad,Año de inicio de actividad,Area en la que se desempeña,id_artista,Año registro,Municipio,Longitud,Latitud,Provincia,Hace parte de alguna organización,Empresa de pensión,Eps,regimen
Cedula de Ciudadanía,1990,Masculino,2,No,No,Mestizos,Secundaria,"Autodidacta, Talleres, Cursos, Clases particulares",Actor,SI,2011,Teatro,88a62528-d23c-4713-bdb6-c5c79683f1de,2021,Tibasosa,"-72,999449","5,74723",Sugamuxi,No,Colpensiones,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1989,Masculino,2,Si,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,2008,Artes plásticas,8b4f1410-4a1b-4d6a-9fbc-c252d3888c09,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Otra / No clasificada,Contributivo
Cedula de Ciudadanía,1986,Masculino,2,Si,No,Mestizos,Universitaria,Universidad,Gestor Cultural,SI,2009,Música,7972c420-31bd-4e80-91e4-9d17458dd576,2021,Aquitania,"-72,88399","5,518602",Sugamuxi,No,Colpensiones,Medimás,Contributivo
Cedula de Ciudadanía,1996,Masculino,2,No,No,Mestizos,Tecnológica,"Autodidacta, Talleres, Cursos, Clases particulares",Artista Formador,SI,2018,Danza,11a9d324-8238-4832-9270-f7bf492efd94,2021,Nobsa,"-72,937042","5,768046",Sugamuxi,Sí,Colpensiones,Nueva EPS,Contributivo
Cedula de Ciudadanía,1965,Femenino,3,Si,No,Mestizos,Magister,Universidad,gestor cultural / Investigador / Escritor,SI,1980,Danza,237108c1-aaba-4aee-9d64-8b30c37ca4da,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Sanitas,Contributivo
Cedula de Ciudadanía,1970,Masculino,2,No,No,Mestizos,Universitaria,Cursos,Gestor Cultural,SI,1998,Gestor Cultural,1930405e-bbfa-4e50-876b-cc1be96541a7,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Sin pensión,Compensar,Contributivo
Cedula de Ciudadanía,1967,Masculino,2,Si,No,Mestizos,Universitaria,Autodidacta,Artista Creador,NO,1978,Música,12dadb94-3a86-4105-bbc5-352ec68910db,2021,Duitama,"-73,03063","5,822964",Tundama,Sí,Otro,Régimen Especial - Fuerza Pública,Especial
Cedula de Ciudadanía,1968,Masculino,2,No,No,Mestizos,Tecnológica,Autodidacta,Artista Creador,SI,1995,Cinematografía,7f2e44b4-2161-4f4e-98a6-33c8b9412e35,2021,Tunja,"-73,355539","5,53988",Centro,Sí,Colpensiones,Coosalud,Contributivo
Cedula de Ciudadanía,1990,Masculino,3,No,No,Mestizos,Universitaria,Universidad,Curaduría y producción de arte contemporaneo,SI,2013,Artes plásticas,61fe12f5-c060-4ed9-a93d-e60f2f41a572,2021,Duitama,"-73,03063","5,822964",Tundama,No,Colpensiones,Nueva EPS,Contributivo
Cedula de Ciudadanía,1960,Femenino,2,Si,No,Mestizos,Universitaria,Universidad,Artista Creador,SI,1975,Artes plásticas,f4959a42-8955-4d4b-add5-05f950c255a3,2021,Duitama,"-73,03063","5,822964",Tundama,No,Otro,Otra / No clasificada,Contributivo
